Year,Month,Day,Min in Observatory (°F),Min in Observatory (°C),Min in Clock Square (°F),Min in Clock Square (°C),Max in Observatory (°F),Max in Observatory (°C)
1855,1,25,NA,NA,NA,NA,NA,NA
1855,1,26,31.4,-0.3,28.3,-2.1,37.8,3.2
1855,1,27,31,-0.6,28,-2.2,37,2.8
1855,1,28,23.9,-4.5,20.8,-6.2,32.3,0.2
1855,1,29,23.2,-4.9,21.5,-5.8,34.5,1.4
1855,1,30,27.4,-2.6,24,-4.4,35,1.7
1855,1,31,27.7,-2.4,26.3,-3.2,32.5,0.3
1855,2,1,29.9,-1.2,28.5,-1.9,33.3,0.7
1855,2,2,29.9,-1.2,27.8,-2.3,33.5,0.8
1855,2,3,32.3,0.2,31.8,-0.1,36,2.2
1855,2,4,33,0.6,31.8,-0.1,39,3.9
1855,2,5,35.3,1.8,34.3,1.3,39,3.9
1855,2,6,36.3,2.4,33.8,1,38.3,3.5
1855,2,7,33.5,0.8,32,0,39.8,4.3
1855,2,8,33,0.6,31,-0.6,39,3.9
1855,2,9,29.2,-1.6,28,-2.2,33,0.6
1855,2,10,30.3,-0.9,28.5,-1.9,33,0.6
1855,2,11,24.9,-3.9,22.3,-5.4,26.5,-3.1
1855,2,12,31.5,-0.3,30,-1.1,34,1.1
1855,2,13,20.7,-6.3,17.5,-8.1,26.8,-2.9
1855,2,14,17.2,-8.2,13,-10.6,21.5,-5.8
1855,2,15,5.2,-14.9,2,-16.7,10.5,-11.9
1855,2,16,25.2,-3.8,21,-6.1,31.5,-0.3
1855,2,17,25.7,-3.5,22.8,-5.1,28.5,-1.9
1855,2,18,9.7,-12.4,6.3,-14.3,15,-9.4
1855,2,19,13.2,-10.4,9.3,-12.6,22.5,-5.3
1855,2,20,28.4,-2,23.8,-4.6,31.8,-0.1
1855,2,21,NA,NA,NA,NA,NA,NA
1855,2,22,NA,NA,NA,NA,NA,NA
1855,2,23,NA,NA,NA,NA,NA,NA
1855,2,24,NA,NA,NA,NA,NA,NA
1855,2,25,NA,NA,NA,NA,NA,NA
1855,2,26,NA,NA,NA,NA,NA,NA
1855,2,27,NA,NA,NA,NA,NA,NA
1855,2,28,NA,NA,NA,NA,NA,NA
