dmy float,dmy,irtemp c,min c,max c
1835.0464480874316,1835-01-17,,,
1835.049180327869,1835-01-18,,,
1835.051912568306,1835-01-19,,,
1835.0546448087432,1835-01-20,,,
1835.0573770491803,1835-01-21,,,
1835.0601092896175,1835-01-22,,,
1835.0628415300546,1835-01-23,,,
1835.0655737704917,1835-01-24,,,
1835.068306010929,1835-01-25,,,
1835.0710382513662,1835-01-26,,,
1835.0737704918033,1835-01-27,,,
1835.0765027322404,1835-01-28,,,
1835.0792349726776,1835-01-29,,,
1835.0819672131147,1835-01-30,,,
1835.0846994535518,1835-01-31,,,
1835.0054644808743,1835-01-02,,,
1835.0901639344263,1835-02-02,,,
1835.1666666666667,1835-03-02,,,
1835.2513661202186,1835-04-02,,,
1835.3333333333333,1835-05-02,,,
1835.4180327868853,1835-06-02,,,
1835.5,1835-07-02,,,
1835.5846994535518,1835-08-02,,,
1835.6693989071039,1835-09-02,,,
1835.7513661202186,1835-10-02,,,
1835.8360655737704,1835-11-02,,,
1835.9180327868853,1835-12-02,,,
1835.120218579235,1835-02-13,,,
1835.122950819672,1835-02-14,,,
1835.1256830601094,1835-02-15,,,
1835.1284153005465,1835-02-16,,,
1835.1311475409836,1835-02-17,,,
1835.1338797814208,1835-02-18,,,
1835.136612021858,1835-02-19,,,
1835.139344262295,1835-02-20,,,
1835.1420765027322,1835-02-21,,,
1835.1448087431695,1835-02-22,,,
1835.1475409836066,1835-02-23,,,
1835.1502732240438,1835-02-24,,,
1835.1530054644809,1835-02-25,,,
1835.155737704918,1835-02-26,,,
1835.1584699453551,1835-02-27,,,
1835.1612021857923,1835-02-28,,,
1835.0081967213114,1835-01-03,,,
1835.0928961748634,1835-02-03,,,
1835.1693989071039,1835-03-03,,,
1835.2540983606557,1835-04-03,,,
1835.3360655737704,1835-05-03,,,
1835.4207650273224,1835-06-03,,,
1835.5027322404371,1835-07-03,,,
1835.5874316939892,1835-08-03,,,
1835.672131147541,1835-09-03,,,
1835.7540983606557,1835-10-03,,,
1835.8387978142077,1835-11-03,,,
1835.9207650273224,1835-12-03,,,
1835.1967213114754,1835-03-13,,,
1835.1994535519125,1835-03-14,,,
1835.2021857923498,1835-03-15,,,
1835.204918032787,1835-03-16,,,
1835.207650273224,1835-03-17,,,
1835.2103825136612,1835-03-18,,,
1835.2131147540983,1835-03-19,,,
1835.2158469945355,1835-03-20,,,
1835.2185792349726,1835-03-21,,,
1835.22131147541,1835-03-22,,,
1835.224043715847,1835-03-23,,,
