year reset dt,year reset,year,temp c,anom c,modern anom c,modern temp c,temp c resample 1000Y,temp c mean
120326,120326.0,-699562.0,-57.34999999999997,,,,,
120661,120661.0,-699227.0,,-2.16,,,,
120676,120676.0,-699212.0,-57.24999999999997,,,,,
120999,,,,,,,,-57.29999999999997
121027,121027.0,-698861.0,-57.14999999999998,,,,,
121054,121054.0,-698834.0,,-2.31,,,,
121377,121377.0,-698511.0,-57.34999999999997,,,,,
121434,121434.0,-698454.0,,-2.45,,,,
121722,121722.0,-698166.0,-57.24999999999997,,,,,
121811,121811.0,-698077.0,,-2.75,,,,
121999,,,,,,,,-57.24999999999997
122066,122066.0,-697822.0,-56.94999999999999,,,,,
122173,122173.0,-697715.0,,-2.49,,,,
122411,122411.0,-697477.0,-57.04999999999998,,,,,
122521,122521.0,-697367.0,,-2.55,,,,
122758,122758.0,-697130.0,-57.24999999999997,,,,,
122864,122864.0,-697024.0,,-2.26,,,,
122999,,,,,,,,-57.083333333333314
123104,123104.0,-696784.0,-57.24999999999997,,,,,
123204,123204.0,-696684.0,,-1.92,,,,
123451,123451.0,-696437.0,-57.14999999999998,,,,,
123539,123539.0,-696349.0,,-1.84,,,,
123797,123797.0,-696091.0,-57.34999999999997,,,,,
123868,123868.0,-696020.0,,-1.88,,,,
123999,,,,,,,,-57.24999999999997
124144,124144.0,-695744.0,-57.34999999999997,,,,,
124201,124201.0,-695687.0,,-1.94,,,,
124490,124490.0,-695398.0,-57.14999999999998,,,,,
124528,124528.0,-695360.0,,-1.69,,,,
124831,124831.0,-695057.0,-57.54999999999998,,,,,
124846,124846.0,-695042.0,,-1.86,,,,
124999,,,,,,,,-57.34999999999997
125165,125165.0,-694723.0,,-2.07,,,,
125172,125172.0,-694716.0,-57.14999999999998,,,,,
125487,125487.0,-694401.0,,-1.85,,,,
125513,125513.0,-694375.0,-56.84999999999997,,,,,
125808,125808.0,-694080.0,,-1.77,,,,
125866,125866.0,-694022.0,-57.44999999999999,,,,,
125999,,,,,,,,-57.14999999999998
126125,126125.0,-693763.0,,-1.92,,,,
126218,126218.0,-693670.0,-57.84999999999997,,,,,
126446,126446.0,-693442.0,,-1.83,,,,
126571,126571.0,-693317.0,-57.54999999999998,,,,,
126766,126766.0,-693122.0,,-1.94,,,,
126933,126933.0,-692955.0,-58.14999999999998,,,,,
126999,,,,,,,,-57.84999999999997
127077,127077.0,-692811.0,,-2.0,,,,
127296,127296.0,-692592.0,-58.04999999999998,,,,,
127399,127399.0,-692489.0,,-2.08,,,,
127658,127658.0,-692230.0,-57.84999999999997,,,,,
127709,127709.0,-692179.0,,-1.82,,,,
127999,,,,,,,,-57.949999999999974
128008,128008.0,-691880.0,,-1.86,,,,
128032,128032.0,-691856.0,-57.94999999999999,,,,,
128324,128324.0,-691564.0,,-1.55,,,,
128406,128406.0,-691482.0,-58.54999999999998,,,,,
128650,128650.0,-691238.0,,-1.6,,,,
128780,128780.0,-691108.0,-58.44999999999999,,,,,
128967,128967.0,-690921.0,,-2.04,,,,
128999,,,,,,,,-58.316666666666656
129170,129170.0,-690718.0,-58.54999999999998,,,,,
129299,129299.0,-690589.0,,-2.39,,,,
129560,129560.0,-690328.0,-58.64999999999998,,,,,
129628,129628.0,-690260.0,,-2.5,,,,
129950,129950.0,-689938.0,-59.04999999999998,-2.7,,,,
129999,,,,,,,,-58.74999999999998
130276,130276.0,-689612.0,,-2.75,,,,
130347,130347.0,-689541.0,-58.84999999999997,,,,,
130619,130619.0,-689269.0,,-2.51,,,,
130743,130743.0,-689145.0,-58.84999999999997,,,,,
130958,130958.0,-688930.0,,-2.59,,,,
130999,,,,,,,,-58.84999999999997
131140,131140.0,-688748.0,-58.84999999999997,,,,,
131298,131298.0,-688590.0,,-3.05,,,,
131551,131551.0,-688337.0,-58.84999999999997,,,,,
131645,131645.0,-688243.0,,-3.05,,,,
131961,131961.0,-687927.0,-59.34999999999997,,,,,
131999,,,,,,,,-59.016666666666644
132002,132002.0,-687886.0,,-3.14,,,,
132352,132352.0,-687536.0,,-3.35,,,,
132372,132372.0,-687516.0,-59.24999999999997,,,,,
132702,132702.0,-687186.0,,-3.7,,,,
132801,132801.0,-687087.0,-59.24999999999997,,,,,
132999,,,,,,,,-59.24999999999997
133052,133052.0,-686836.0,,-3.5,,,,
133231,133231.0,-686657.0,-59.64999999999998,,,,,
133403,133403.0,-686485.0,,-3.36,,,,
133660,133660.0,-686228.0,-59.54999999999998,,,,,
133768,133768.0,-686120.0,,-3.44,,,,
133999,,,,,,,,-59.59999999999998
134110,134110.0,-685778.0,-59.64999999999998,,,,,
134130,134130.0,-685758.0,,-3.5,,,,
134496,134496.0,-685392.0,,-3.73,,,,
134561,134561.0,-685327.0,-59.94999999999999,,,,,
134873,134873.0,-685015.0,,-3.97,,,,
134999,,,,,,,,-59.79999999999998
135011,135011.0,-684877.0,-59.94999999999999,,,,,
135249,135249.0,-684639.0,,-4.07,,,,
135494,135494.0,-684394.0,-60.34999999999997,,,,,
135627,135627.0,-684261.0,,-4.41,,,,
135977,135977.0,-683911.0,-60.54999999999998,,,,,
135999,,,,,,,,-60.28333333333331
