Year,Month,Daily,Max (°F),Min (°F),Max (°C),Min (°C)
1873,8,2,65.5,53.4,18.6,11.9
1873,8,3,64.8,52.8,18.2,11.6
1873,8,4,67.2,52.9,19.6,11.6
1873,8,5,68.4,50.3,20.2,10.2
1873,8,6,68.5,54,20.3,12.2
1873,8,7,67.7,59.9,19.8,15.5
1873,8,8,72.5,58.3,22.5,14.6
1873,8,9,62.8,49.4,17.1,9.7
1873,8,10,64,51.5,17.8,10.8
1873,8,11,59.8,52.3,15.4,11.3
1873,8,12,65,54.8,18.3,12.7
1873,8,13,69.2,54.4,20.7,12.4
1873,8,14,64.9,50.6,18.3,10.3
1873,8,15,68.1,51.6,20.1,10.9
1873,8,16,67.3,55.5,19.6,13.1
1873,8,17,63.4,46.6,17.4,8.1
1873,8,18,57.8,49.2,14.3,9.6
1873,8,19,64.1,53.4,17.8,11.9
1873,8,20,62.7,50.6,17.1,10.3
1873,8,21,63.8,50,17.7,10
1873,8,22,62.8,49,17.1,9.4
1873,8,23,66,53.5,18.9,11.9
1873,8,24,61,45.8,16.1,7.7
1873,8,25,60.8,49.4,16,9.7
1873,8,26,68.4,53.3,20.2,11.8
1873,8,27,64.5,51.8,18.1,11
1873,8,28,66.7,50.6,19.3,10.3
1873,8,29,59.3,45.8,15.2,7.7
1873,8,30,61.2,45.4,16.2,7.4
1873,8,31,62.8,51.9,17.1,11.1
1873,9,1,67.8,53.2,19.9,11.8
1873,9,2,61.9,48.5,16.6,9.2
1873,9,3,60.2,47.4,15.7,8.6
1873,9,4,58.7,46.4,14.8,8
1873,9,5,56.8,46.4,13.8,8
1873,9,6,57.7,46,14.3,7.8
1873,9,7,55.7,46.4,13.2,8
1873,9,8,59.5,45.8,15.3,7.7
1873,9,9,59.8,48.7,15.4,9.3
1873,9,10,60.7,50.9,15.9,10.5
1873,9,11,60.1,43.7,15.6,6.5
1873,9,12,60.2,47.6,15.7,8.7
1873,9,13,62.2,44.4,16.8,6.9
1873,9,14,56.5,46.2,13.6,7.9
1873,9,15,56,44.5,13.3,6.9
1873,9,16,60.3,44.4,15.7,6.9
1873,9,17,59.2,49.4,15.1,9.7
1873,9,18,61.2,46,16.2,7.8
1873,9,19,58.5,46.9,14.7,8.3
1873,9,20,62.7,46.9,17.1,8.3
1873,9,21,60.7,41.9,15.9,5.5
1873,9,22,58.3,32.4,14.6,0.2
1873,9,23,60.5,35.6,15.8,2
1873,9,24,63.2,39.5,17.3,4.2
1873,9,25,66.3,41.7,19.1,5.4
1873,9,26,62.7,51.8,17.1,11
1873,9,27,63.3,55,17.4,12.8
1873,9,28,68.5,38.2,20.3,3.4
1873,9,29,58.3,31.7,14.6,-0.2
1873,9,30,57.5,33,14.2,0.6
1873,10,1,60.8,52.2,16,11.2
1873,10,2,67.8,58.4,19.9,14.7
1873,10,3,64.5,56.4,18.1,13.6
1873,10,4,62.5,46,16.9,7.8
1873,10,5,57.5,38.9,14.2,3.8
1873,10,6,55.2,45.4,12.9,7.4
1873,10,7,55.6,37.6,13.1,3.1
1873,10,8,51.3,33.4,10.7,0.8
1873,10,9,53,38.6,11.7,3.7
1873,10,10,58.6,44.7,14.8,7.1
1873,10,11,61.7,49.3,16.5,9.6
1873,10,12,53.8,39.4,12.1,4.1
1873,10,13,56.6,35,13.7,1.7
1873,10,14,52.8,34.6,11.6,1.4
1873,10,15,52,29.3,11.1,-1.5
1873,10,16,52,29.6,11.1,-1.3
1873,10,17,56.4,46.6,13.6,8.1
1873,10,18,56.3,47.4,13.5,8.6
1873,10,19,58.5,36.7,14.7,2.6
1873,10,20,54.7,37.7,12.6,3.2
1873,10,21,49.6,37.6,9.8,3.1
1873,10,22,56.6,45.1,13.7,7.3
1873,10,23,48.6,34.1,9.2,1.2
1873,10,24,44.4,32.3,6.9,0.2
1873,10,25,44.1,29.6,6.7,-1.3
1873,10,26,49.4,25.1,9.7,-3.8
1873,10,27,39.7,25.3,4.3,-3.7
1873,10,28,39.3,27.8,4.1,-2.3
1873,10,29,51.6,30.4,10.9,-0.9
1873,10,30,51.4,41.4,10.8,5.2
1873,10,31,47.6,33.4,8.7,0.8
1873,11,1,53.4,39.1,11.9,3.9
1873,11,2,42.1,26.5,5.6,-3.1
1873,11,3,45.5,26.9,7.5,-2.8
1873,11,4,48,31.8,8.9,-0.1
1873,11,5,48.8,34.8,9.3,1.6
1873,11,6,48.9,41,9.4,5
1873,11,7,46.9,39.4,8.3,4.1
1873,11,8,46.1,38.9,7.8,3.8
1873,11,9,46.4,31.3,8,-0.4
1873,11,10,50.4,41.4,10.2,5.2
1873,11,11,47.6,42.9,8.7,6.1
1873,11,12,51.4,36.9,10.8,2.7
1873,11,13,44.8,37.1,7.1,2.8
1873,11,14,46.9,38.5,8.3,3.6
1873,11,15,47.9,41.3,8.8,5.2
1873,11,16,47.4,25.3,8.6,-3.7
1873,11,17,45.5,25.1,7.5,-3.8
1873,11,18,42.3,33.1,5.7,0.6
1873,11,19,43.5,39.1,6.4,3.9
1873,11,20,46.4,42.3,8,5.7
1873,11,21,50.3,36.4,10.2,2.4
1873,11,22,53.7,42.2,12.1,5.7
1873,11,23,55.4,47.3,13,8.5
1873,11,24,51,44.7,10.6,7.1
1873,11,25,50.6,36.9,10.3,2.7
1873,11,26,53.6,43.1,12,6.2
1873,11,27,55.6,42.9,13.1,6.1
1873,11,28,53.6,42.1,12,5.6
1873,11,29,54.9,52.2,12.7,11.2
1873,11,30,54.5,41.8,12.5,5.4
1873,12,1,50.6,42.8,10.3,6
1873,12,2,53.2,48.4,11.8,9.1
1873,12,3,54.6,40.9,12.6,4.9
1873,12,4,51.5,41.2,10.8,5.1
1873,12,5,49.9,46.5,9.9,8.1
1873,12,6,51.4,35.6,10.8,2
1873,12,7,46.8,33.2,8.2,0.7
1873,12,8,50.4,43.7,10.2,6.5
